epoch,loss,speaker_loss,recon_loss,env_loss,adv_loss,corr_loss,invariance_loss,supcon_loss,clean_clean_eer,clean_clean_min_dcf,clean_clean_top1,clean_noise_eer,clean_noise_min_dcf,clean_noise_top1,clean_reverb_eer,clean_reverb_min_dcf,clean_reverb_top1,clean_bandlimit_eer,clean_bandlimit_min_dcf,clean_bandlimit_top1
0,3.772400,2.087345,0.004625,1.390469,1.385723,0.490190,0.016744,2.315340,0.522321,0.053770,1.000000,0.538690,0.051885,0.250000,0.542659,0.051885,0.375000,0.519345,0.051885,0.958333
1,3.739961,2.081642,0.001537,1.382768,1.388338,0.438176,0.023463,2.247645,0.500000,0.053770,1.000000,0.523313,0.051885,0.250000,0.520337,0.051885,0.458333,0.481647,0.051885,0.833333
