epoch,loss,acc,clean_clean_eer,clean_clean_min_dcf,clean_clean_top1,clean_noise_eer,clean_noise_min_dcf,clean_noise_top1,clean_reverb_eer,clean_reverb_min_dcf,clean_reverb_top1,clean_bandlimit_eer,clean_bandlimit_min_dcf,clean_bandlimit_top1
0,9.259000,0.000000,0.483631,0.051687,1.000000,0.463294,0.051885,0.125000,0.495040,0.050843,0.291667,0.522321,0.051885,0.916667
1,7.439115,0.041667,0.541667,0.051687,1.000000,0.483631,0.048958,0.250000,0.520337,0.051885,0.291667,0.562004,0.051885,0.875000
