epoch,loss,speaker_loss,recon_loss,env_loss,adv_loss,corr_loss,invariance_loss,supcon_loss,clean_clean_eer,clean_clean_min_dcf,clean_clean_top1,clean_noise_eer,clean_noise_min_dcf,clean_noise_top1,clean_reverb_eer,clean_reverb_min_dcf,clean_reverb_top1,clean_bandlimit_eer,clean_bandlimit_min_dcf,clean_bandlimit_top1
0,3.306493,2.089682,0.004240,1.386728,1.386570,0.485598,0.012233,0.000000,0.459325,0.053373,1.000000,0.500000,0.051885,0.166667,0.537698,0.050843,0.375000,0.520337,0.050843,0.875000
1,3.282258,2.083130,0.001618,1.375740,1.385998,0.452787,0.006567,0.000000,0.500000,0.053373,1.000000,0.583333,0.051885,0.250000,0.520337,0.051885,0.416667,0.500000,0.051885,0.916667
